# Antenna elements layout
# Station label: stn.396.E11-4
# Number of antennas: 256
# Station diameter: 35.00 [m]
# Antenna minimum separation: 1.50 [m]
# X[m]  Y[m]
-1.202672700418197671e+01 -6.767909007636262686e+00
-2.985367795685256453e-01 1.582708190567191764e+01
-6.577375949704492797e+00 1.537431197001225769e+01
6.984814616329838799e+00 -6.729161919478968912e+00
-1.247040811514829173e+01 -8.503226329742686218e+00
-9.547452177709015331e+00 1.493779924392239167e+00
1.194240946968909256e+01 -8.320294048496133854e+00
-5.398096793167610485e-01 1.326550545601988418e+01
-1.351806664979222283e+01 5.965379730696174221e+00
8.862580125904450767e+00 -2.810453441557598353e+00
-8.516237682602399772e+00 -1.610639908752533600e+00
1.726453026711460836e-01 -4.883577954734112936e+00
1.157586594618219777e+01 6.073040284269396238e+00
5.617973824766931301e+00 1.318647252031175654e+01
1.059353411769460962e+01 9.857657196899179297e+00
1.514834484478922150e+01 3.983288919056203525e+00
7.679577084112587215e+00 1.435130124213449321e+01
-8.352657550585220747e-01 6.157868494825393668e-01
1.805240300929671804e+00 2.347768074856588782e-01
-9.578889672899194352e+00 5.715241009278528850e+00
-1.927240934809125505e+00 1.100134256467535820e+01
4.300977288646258501e+00 8.214575432086633100e+00
-3.689456371444446603e+00 1.448831134496306916e+01
-1.040823558165104679e+01 -1.219149489179465284e+01
1.507635043823407273e+01 -2.127656505881487803e+00
1.336215725035124180e+01 6.444713423457205437e+00
4.158887361456926612e+00 6.091444077993795503e+00
4.131498824052005858e+00 3.974913051113741602e+00
-7.046139086709370503e+00 3.567473574168609218e+00
2.271073455118710172e+00 -4.787935157015002829e+00
9.003150316373222495e+00 -8.586697807948855399e+00
-1.005890863073955188e+01 -8.331435584366026603e+00
4.120510808517714452e+00 -7.736028785963426913e-01
-4.232675569695709683e+00 1.861489789473463219e+00
-3.852507422857188502e+00 -3.254493794679191865e-02
-5.009212450382959148e+00 -1.285594532922064026e+01
1.452627969821112686e+01 -4.624127776977475790e+00
-3.474604375198763861e+00 -8.625479323883430638e+00
8.686153147042059430e+00 1.278034783045695377e+01
-1.576067252273981723e+01 -5.087169453097978078e+00
-1.040286034794835857e+01 7.626023180159815951e+00
-7.094856255565531455e-01 -1.637453392669299035e+01
9.693053479655123539e+00 6.574049616503430116e-02
-2.390862702191824951e-01 2.961415425076914687e+00
6.722291912042628326e+00 -4.828704538795815182e+00
1.420418281725634557e+00 -1.193823347092059350e+01
4.246428241973774220e-01 1.152360443592213457e+01
-3.963146021802623764e+00 6.226861777855315694e+00
-6.482409513635701614e+00 1.057686711807531665e+01
-1.527776609548005560e+01 -1.341565019772886558e+00
7.968554048631347086e+00 9.402081648148204351e+00
-1.600323242605446694e+01 2.940032119119955212e+00
-1.103560339251349376e+01 -4.954202629264159441e-01
1.232459503280373170e+01 4.054769457029763657e+00
4.553419896685124257e+00 -1.000030684911555667e+01
-3.114188984446318642e+00 -1.053145286274704517e+01
9.817408214729539395e-03 9.868481686326617819e+00
5.580308509227869251e+00 2.625390730692469532e+00
-5.227705611950746345e+00 -1.021452236268744684e+01
-1.342327851822721740e+01 -4.706369941359902498e-01
7.454423291440424038e+00 -4.473541159161378289e-01
-9.761412554783177598e-02 8.068023702344035542e+00
-4.133177754665609882e+00 -2.763252687834045318e+00
-1.567546870492299504e+01 5.544971611279663648e+00
1.567663337285652858e+01 1.994373849026796819e+00
9.942561594242327772e+00 -4.978193273031447319e+00
-1.290974913179032590e+01 4.132134009472142822e+00
-1.460986746817861359e+01 7.091645970060660886e+00
-1.278667024649893236e+01 -2.715431498047426118e+00
-3.765725127324721200e+00 -5.087139421663346539e+00
-1.457409005695879500e+00 4.498746123594244750e+00
-1.368035929271897544e+00 -3.365608783547138216e+00
6.740544552298587178e+00 -1.387184788866448315e+01
-1.430303227625129558e+01 -3.653702609076335150e+00
-7.060990493154712055e+00 6.243456460888907600e-01
