# Antenna elements layout
# Station label: stn.381.N9-1
# Number of antennas: 256
# Station diameter: 35.00 [m]
# Antenna minimum separation: 1.50 [m]
# X[m]  Y[m]
1.144118505551925580e+01 9.138320240682798357e+00
2.075733999862091395e+00 1.102170846134098170e+01
-4.631025643878768250e+00 -3.878823811996351623e+00
-1.244964450330616756e+00 8.743460072421754603e+00
1.099862641011023001e+01 2.165045712074299189e+00
1.017337102081751965e+01 -5.575754093168434622e+00
-1.209895765537314816e+01 5.264622352790890858e+00
-9.099162905169313476e+00 -5.253001741302430361e+00
-1.011363674231497001e+01 2.841927990671848647e+00
-5.369789129705401010e+00 7.646673556014690121e+00
-2.231010911695360477e+00 -1.512877857443800877e+01
-1.177249467613847855e+01 8.276616041841531768e+00
-1.147347876118266008e+01 -8.002192758005586271e+00
-1.284851752979545125e+01 -6.346798644305959414e+00
-5.084718308492151451e+00 1.521652097811384152e+01
3.682722105058005013e-01 -1.472392748482106839e+01
1.063465070214782671e+01 7.379438502403115052e+00
3.165128752139025892e+00 -1.106476460932942274e+01
-5.938517068049742775e+00 -1.000385811619100451e+01
-5.193272568073448170e+00 4.703984495445645564e+00
6.264192220578269854e+00 1.421343306585661992e+00
2.847801749670111349e-01 -8.994585400016877230e+00
9.453407371985143470e+00 -6.928696966602322149e+00
-8.192098842732681518e+00 1.303295358645063118e+01
-1.153294573051550742e+01 -7.688181716547468625e-01
1.145847972689982797e+01 1.163606879239144121e+01
-5.912755293236788390e+00 1.120966071802731889e+01
5.283656717782715617e+00 4.141182299836913216e+00
8.689974059385178862e+00 -1.141904567922132685e+00
-5.611905926869233951e+00 -1.567620521760984786e+01
6.732734500973151626e+00 -2.614494246788053644e+00
-6.899941950253996481e+00 -6.881977519477263883e+00
4.217647381874837009e+00 1.803607201010674288e+00
5.118623862300495375e+00 -6.882285767084072248e+00
7.589675617162917831e+00 -1.442175734240116824e+01
-1.385662392402397636e+01 2.198094150541649583e-01
-1.292875502981562796e+01 -3.089500532586338721e+00
-1.149936391330896868e+00 3.297425072858025885e+00
-1.049414495914760970e+01 -5.914573769283123283e+00
-5.959175208634171383e+00 -5.338651202526502715e+00
-4.915814934978264716e+00 -7.028419589384910182e+00
2.903584892201713785e-01 2.454614382108797344e+00
-3.396934476921298796e+00 -4.030610157196825583e-01
3.964339067012236484e+00 1.576180854389630071e+01
