# Antenna elements layout
# Station label: stn.108.C108
# Number of antennas: 256
# Station diameter: 35.00 [m]
# Antenna minimum separation: 1.50 [m]
# X[m]  Y[m]
9.502962340302349986e+00 -7.636347756890360827e+00
7.584567420558666839e+00 3.204955010673959492e+00
-3.829761502087084324e+00 1.328709143526696579e+01
2.663363911612108836e-01 2.048247142319294056e+00
-5.383863880681454717e+00 -1.583342807281184861e+01
1.459037263082041846e+01 2.671484450124594900e-02
1.492438550229931593e+01 7.305776866245864198e+00
9.739740912708164444e+00 6.476218487222535458e+00
-9.387282567219550344e+00 -1.367221429705174529e+01
5.403701743742519881e+00 -1.004091229387513451e+01
5.472116297453499811e+00 6.083943754420964467e+00
-3.349873912719024460e+00 -1.356254511524289441e+01
4.291814867213251006e+00 1.363474256320985489e+01
-3.777369191747332877e-01 -9.642981621206928367e+00
-1.593063661970671063e+00 -1.268210763561138776e+01
-6.726591122083993568e+00 -3.256858921183187761e-01
-4.732726971882311062e+00 -1.089874138372998402e+01
-1.047566562626996500e+01 -1.201915720870205462e+01
-1.219262016882875876e+01 1.025221504634207292e+01
-1.476412963594162697e+01 9.170855192678857293e-01
9.739256783558872144e+00 -2.038844527379165328e+00
-8.387303776645245179e+00 3.968424130015097973e+00
4.136261085729486808e+00 -4.284074794816211451e+00
1.375385991786840023e+01 3.383975273057046707e+00
-6.885716729931880664e+00 -1.212017099441010259e+01
-1.418221291468090328e+01 4.271072037366035801e+00
-1.217780868100753011e+01 6.832437498258432385e+00
3.965689630708553182e-01 1.391419551642612262e+01
1.592354640130373156e+01 -3.099238469961788311e+00
-8.773899865909299933e+00 -7.646880262547126605e+00
5.415704270698014966e+00 -5.902312534394516419e+00
1.561903920376920496e+00 -8.952866541900618813e+00
-1.162363688073929779e+01 -4.353878069375429760e+00
-1.342988980723964687e+01 -1.405657663473895980e-01
1.090622801637536554e+01 -1.027684006833542441e+00
-6.150678281678878534e-01 -1.606068807450287750e+01
-3.179862982088668133e+00 -1.411233095940186644e+00
-1.288412784576945924e+01 8.897348614511944476e+00
-6.859308059058548679e-01 9.071903327146145557e+00
-2.008386894306612547e+00 -4.262275522807641437e+00
-1.545206787095456846e+01 -1.463742260793541305e+00
-1.402840848437133303e+01 -2.742696995166394203e+00
-1.484127189406097713e+01 6.916658300083348365e+00
-5.586022491603825912e+00 1.571063345235442199e+01
-6.819955561430697699e+00 4.159220945333370167e+00
-9.160414047487792644e+00 6.151100757871958535e+00
1.014787749142495699e+01 1.256343972235258377e+01
5.171410320980101005e-01 -2.936148058749976641e+00
5.123494999768510638e+00 -3.137065820304757224e+00
-5.886705201471254867e+00 9.792762548379190690e+00
4.700499787972418630e-01 -5.923523020988554322e+00
4.229647488223019280e+00 -1.243658147166963701e+01
-1.081726011017460642e+01 8.105551682224145793e+00
3.807674595184067812e+00 -7.577147478216387455e+00
8.032036119482128811e-01 -1.067120874080615067e+01
1.122664354116992413e+01 4.084991013356869871e+00
-1.533358229454254307e+01 -5.287011340237560475e+00
-1.007695423696624282e+01 1.397558333647285878e+00
-1.204564201092489384e+01 -7.397195281148411183e+00
